id	status	old_name	new_name	author	year	topic	tier	wave	seq	conf	notes	words
001	RENAMED	150000-mini-brain-transcript.txt	talk-nd-thousand-brains-theory.txt	talk	nd	cortical-columns	X	3	63	M	unattributed YouTube explainer of Hawkins/Numenta TBT; not by Hawkins	3478
002	RENAMED	20 years of the default mode network A review and synthesis.md	menon-2023-default-mode-network-20-years.md	menon	2023	default-mode	S	12	264	H		8206
003	RENAMED	A Neural Dirichlet Process Mixture Model for Task-Free Continual Learning.md	lee-2020-neural-dirichlet-continual-learning.md	lee	2020	continual-learning	M	13	286	H		13469
004	RENAMED	A Path Towards Autonomous Machine Intelligence.md	lecun-2022-autonomous-machine-intelligence.md	lecun	2022	foundations	F	0	11	H	JEPA/world-model position paper; Wave 0 anchor	22504
005	RENAMED	A Quantitative Definition of Intelligence.md	choi-2026-quantitative-definition-intelligence.md	choi	2026	foundations	F	0	13	H		11330
006	RENAMED	A Survey Learning Embodied Intelligence from Physical Simulators and World Models.md	long-2025-embodied-intelligence-world-models.md	long	2025	world-models	S	7	145	H		22576
007	RENAMED	A Survey of Encoding Techniques for Signal Processing in Spiking Neural Networks - Neural Processing Letters.md	auge-2021-snn-encoding-techniques.md	auge	2021	spiking-neuromorphic	S	11	236	H		6160
008	RENAMED	A Theory of Universal Artificial Intelligence based on Algorithmic Complexity.md	hutter-2000-universal-ai-algorithmic-complexity.md	hutter	2000	foundations	F	0	5	H	AIXI	28405
009	RENAMED	A benchmark of expert-level academic questions to assess AI capabilities.md	phan-2026-humanitys-last-exam.md	phan	2026	reasoning-eval	B	10	226	H	Nature 2026, doi 10.1038/s41586-025-09962-4 (Nature title: A benchmark of expert-level academic questions to assess AI capabilities); first author Long Phan confirmed by web search. The arXiv preprint capture is id 117 (2025).	3840
010	RENAMED	A cognitive state transformation model for task-general and task-specific subsystems of the brain connectome.md	yoo-2022-cognitive-state-transformation.md	yoo	2022	brain-networks	M	12	253	H		8711
011	RENAMED	A deep learning framework for neuroscience.md	richards-2019-deep-learning-framework-neuroscience.md	richards	2019	foundations	F	0	9	H	Wave 0 anchor	7120
012	RENAMED	A default mode of brain function.md	raichle-2001-default-mode-brain-function.md	raichle	2001	default-mode	F	12	267	H	seminal DMN paper	5874
013	RENAMED	A framework for the general design and computation of hybrid neural networks.md	zhao-2022-hybrid-neural-networks-framework.md	zhao	2022	spiking-neuromorphic	F	11	240	H		7744
014	RENAMED	A map of abstract relational knowledge in the human hippocampal–entorhinal cortex.md	garvert-2017-abstract-relational-knowledge-map.md	garvert	2017	hippocampal-entorhinal	R	2	39	H	direct latent-graph evidence	8348
015	RENAMED	A mechanistic theory of planning in prefrontal cortex.md	jensen-2026-planning-prefrontal-cortex.md	jensen	2026	prefrontal-control	F	5	109	H		13308
016	RENAMED	A natural history of the human mind tracing evolutionary changes in brain and cognition.md	sherwood-2008-natural-history-human-mind.md	sherwood	2008	evolution-comparative	S	14	295	H		17156
017	RENAMED	A neuronal learning rule for sub-millisecond temporal coding.md	gerstner-1996-submillisecond-temporal-coding.md	gerstner	1996	plasticity	M	4	69	M	OCR garbled; Nature 383:76 1996 - spot-check in pass 3	3571
018	RENAMED	A scalable reinforcement learning framework inspired by hippocampal memory mechanisms for efficient contextual and sequential decision making.md	poursiami-2025-hippocampal-rl-framework.md	poursiami	2025	rl-planning	M	6	141	H	HAMI + HiCoS	7567
019	RENAMED	A simple model for Behavioral Time Scale Synaptic Plasticity (BTSP) provides content addressable memory with binary synapses and one-shot learning.md	wu-2025-btsp-content-addressable-memory.md	wu	2025	plasticity	M	4	74	H		9721
020	RENAMED	A source for feature based attention in the prefrontal cortex.md	bichot-2015-feature-based-attention-pfc.md	bichot	2015	prefrontal-control	R	5	115	H		10050
021	RENAMED	AGENT A Benchmark for Core Psychological Reasoning.md	shu-2021-agent-psychological-reasoning-benchmark.md	shu	2021	reasoning-eval	B	10	215	H		11754
022	RENAMED	ARC Prize 2024 Technical Report.md	chollet-2024-arc-prize-report.md	chollet	2024	arc-benchmarks	S	10	196	H		4443
023	RENAMED	ARC Prize 2025 Technical Report.md	chollet-2025-arc-prize-report.md	chollet	2025	arc-benchmarks	S	10	199	H	nominal report year 2025; arXiv pub 2026	4599
024	RENAMED	ARC Prize 2026 data.md	arcprize-2026-arc-agi-3-data.md	arcprize	2026	arc-benchmarks	B	10	203	H		661
025	RENAMED	ARC Prize 2026 leaderboard.md	arcprize-2026-arc-agi-3-leaderboard.md	arcprize	2026	arc-benchmarks	X	10	204	H	thin - leaderboard snapshot	315
026	RENAMED	ARC Prize 2026 overview.md	arcprize-2026-kaggle-competition-overview.md	arcprize	2026	arc-benchmarks	X	10	205	H	Kaggle ARC-AGI-3 competition overview page; thin	970
027	RENAMED	ARC Prize 2026 rules.md	arcprize-2026-kaggle-competition-rules.md	arcprize	2026	arc-benchmarks	X	10	206	H	Kaggle competition legal rules; likely low ingest value	5746
028	RENAMED	ARC-AGI v2 Leaderboard.md	llmstats-2026-arc-agi-2-leaderboard.md	llmstats	2026	arc-benchmarks	X	10	200	H	llm-stats.com snapshot 2026-05-07; scores decay fast	1027
029	RENAMED	ARC-AGI-1.md	arcprize-nd-arc-agi-1-overview.md	arcprize	nd	arc-benchmarks	B	10	195	H	undated arcprize.org doc page for the 2019 benchmark	526
030	RENAMED	ARC-AGI-2 A New Challenge for Frontier AI Reasoning Systems.md	chollet-2025-arc-agi-2.md	chollet	2025	arc-benchmarks	B	10	198	H	arXiv 2505.11831; the ARC-AGI-2 paper proper	4035
031	RENAMED	ARC-AGI-2.md	arcprize-nd-arc-agi-2-overview.md	arcprize	nd	arc-benchmarks	B	10	197	H	undated arcprize.org doc page	826
032	RENAMED	ARC-AGI-3-paper.md	arcprize-2026-arc-agi-3-paper.md	arcprize	2026	arc-benchmarks	B	10	202	H	corporate author ARC Prize Foundation; dated 2026-04-20	8894
033	RENAMED	ARC-AGI-3.md	arcprize-nd-arc-agi-3-overview.md	arcprize	nd	arc-benchmarks	B	10	201	H	undated arcprize.org doc page	307
034	RENAMED	ARC-AGI-what-is.md	arcprize-nd-arc-agi-series.md	arcprize	nd	arc-benchmarks	X	10	194	H	What is ARC-AGI series framing page; merge candidate w/ 029/031/033	957
035	RENAMED	Abstract representations emerge in human hippocampal neurons during inference.md	courellis-2024-abstract-representations-hippocampus.md	courellis	2024	hippocampal-entorhinal	R	2	44	H	human single units; abstraction emerges during inference	16967
036	RENAMED	Active Inference as a Convex Markov Decision Process.md	milosevic-2026-active-inference-convex-mdp.md	milosevic	2026	predictive-coding	M	6	125	H		7775
037	RENAMED	AdaWorld Learning Adaptable World Models with Latent Actions.md	gao-2025-adaworld-latent-actions.md	gao	2025	world-models	M	7	149	H	ICML 2025	15676
038	RENAMED	Adversarial NLI.md	nie-2020-adversarial-nli.md	nie	2020	reasoning-eval	B	10	214	H	ACL 2020 confirmed by web search (aclanthology 2020.acl-main.441); arXiv 1910.14599	5939
039	RENAMED	Adversarial testing of global neuronal workspace and integrated information theories of consciousness.md	ferrante-2025-gnwt-iit-adversarial-testing.md	ferrante	2025	consciousness-global-workspace	R	12	278	H	Cogitate consortium; GNWT vs IIT	18261
040	RENAMED	American Invitational Mathematics Examination.md	wikipedia-nd-aime-competition.md	wikipedia	nd	reasoning-eval	B	10	228	M	tier-1 date 2004-05-18 is article creation not a pub year	1318
041	RENAMED	An Approximation of the Error Backpropagation Algorithm in a Predictive Coding Network with Local Hebbian Synaptic Plasticity.md	whittington-2017-predictive-coding-approximates-backprop.md	whittington	2017	predictive-coding	M	6	124	H	Neural Comput 29(5):1229	10905
042	RENAMED	An Introduction to Vision-Language Modeling.md	bordes-2024-vision-language-modeling.md	bordes	2024	ssl-representation	S	7	158	H	Meta VLM primer; arXiv 2405.17247	19559
043	RENAMED	Arbitrary associations between antecedents and actions.md	wise-2000-arbitrary-antecedent-action-associations.md	wise	2000	prefrontal-control	S	5	95	H	TINS review; arbitrary sensorimotor mapping	3006
044	RENAMED	Are Grid-Like Representations a Component of All Perception and Cognition?.md	chen-2022-grid-like-representations-cognition.md	chen	2022	hippocampal-entorhinal	F	2	26	H	speculative account of grid codes beyond space	5942
045	RENAMED	Artificial Intelligence for Mathematical Reasoning An Integrated Survey of Language Models, Neuro-symbolic Systems, and Verified Discovery.md	raiyan-2026-ai-mathematical-reasoning.md	raiyan	2026	neurosymbolic	S	9	178	H	arXiv 2606.08728; LLM + neuro-symbolic + verified discovery	56242
046	RENAMED	Assessing the Scalability of Biologically-Motivated Deep Learning Algorithms and Architectures.md	bartunov-2018-biologically-motivated-dl-scalability.md	bartunov	2018	plasticity	R	4	78	H	NeurIPS 2018 confirmed by web search	8632
047	RENAMED	Attention Is All You Need.md	vaswani-2017-attention-is-all-you-need.md	vaswani	2017	attention-transformers	M	8	177	H	title kept verbatim - the name it is cited under	4554
048	RENAMED	AutoToM Scaling Model-based Mental Inference via Automated Agent Modeling.md	zhang-2025-autotom-mental-inference.md	zhang	2025	neurosymbolic	M	9	183	M	NeurIPS 2025 spotlight, arXiv 2502.15676; tier-1 date 2026-01-14 is a version update	17017
